,Month,DayofMonth,DayOfWeek,FlightDate,Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,Origin,OriginCityName,OriginState,DestAirportID,Dest,DestCityName,DestState,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
122971,1,3,1,2022-01-03,NK,N670NK,3054,11433,DTW,"Detroit, MI",MI,13303,MIA,"Miami, FL",FL,855,929.0,34.0,34.0,1.0,2.0,0800-0859,1219,1244.0,25.0,25.0,1.0,1.0,1200-1259,0.0,,0.0,204.0,195.0,166.0,1145.0,5,25.0,0.0,0.0,0.0,0.0
430816,1,6,4,2022-01-06,OO,N754SK,3220,14698,SBP,"San Luis Obispo, CA",CA,14107,PHX,"Phoenix, AZ",AZ,620,631.0,11.0,11.0,0.0,0.0,0600-0659,857,855.0,-2.0,0.0,0.0,-1.0,0800-0859,0.0,,0.0,97.0,84.0,69.0,509.0,3,,,,,
167360,1,3,1,2022-01-03,WN,N558WN,4366,10693,BNA,"Nashville, TN",TN,13204,MCO,"Orlando, FL",FL,2140,2228.0,49.0,49.0,1.0,3.0,2100-2159,30,102.0,32.0,32.0,1.0,2.0,0001-0559,0.0,,0.0,110.0,93.0,80.0,616.0,3,1.0,0.0,0.0,0.0,31.0
157430,1,21,5,2022-01-21,QX,N447QX,2453,14057,PDX,"Portland, OR",OR,10713,BOI,"Boise, ID",ID,825,819.0,-6.0,0.0,0.0,-1.0,0800-0859,1042,1032.0,-10.0,0.0,0.0,-1.0,1000-1059,0.0,,0.0,77.0,73.0,60.0,344.0,2,,,,,
400606,1,29,6,2022-01-29,B6,N353JB,2255,10721,BOS,"Boston, MA",MA,11278,DCA,"Washington, DC",VA,1800,,,,,,1800-1859,1946,,,,,,1900-1959,1.0,B,0.0,106.0,,,399.0,2,,,,,
178109,1,21,5,2022-01-21,WN,N8514F,1265,12889,LAS,"Las Vegas, NV",NV,14679,SAN,"San Diego, CA",CA,1810,1847.0,37.0,37.0,1.0,2.0,1800-1859,1920,1947.0,27.0,27.0,1.0,1.0,1900-1959,0.0,,0.0,70.0,60.0,41.0,258.0,2,4.0,0.0,0.0,0.0,23.0
3603,1,8,6,2022-01-08,DL,N815DN,475,11433,DTW,"Detroit, MI",MI,10397,ATL,"Atlanta, GA",GA,1617,1620.0,3.0,3.0,0.0,0.0,1600-1659,1821,1810.0,-11.0,0.0,0.0,-1.0,1800-1859,0.0,,0.0,124.0,110.0,89.0,594.0,3,,,,,
86354,1,3,1,2022-01-03,HA,N380HA,20,12173,HNL,"Honolulu, HI",HI,14893,SMF,"Sacramento, CA",CA,1245,1314.0,29.0,29.0,1.0,1.0,1200-1259,1955,2027.0,32.0,32.0,1.0,2.0,1900-1959,0.0,,0.0,310.0,313.0,291.0,2462.0,10,32.0,0.0,0.0,0.0,0.0
495814,1,12,3,2022-01-12,UA,N408UA,2191,11292,DEN,"Denver, CO",CO,12889,LAS,"Las Vegas, NV",NV,751,1025.0,154.0,154.0,1.0,10.0,0700-0759,853,1114.0,141.0,141.0,1.0,9.0,0800-0859,0.0,,0.0,122.0,109.0,85.0,628.0,3,141.0,0.0,0.0,0.0,0.0
321488,1,2,7,2022-01-02,AA,N830AW,2759,14683,SAT,"San Antonio, TX",TX,11298,DFW,"Dallas/Fort Worth, TX",TX,1043,1116.0,33.0,33.0,1.0,2.0,1000-1059,1157,1214.0,17.0,17.0,1.0,1.0,1100-1159,0.0,,0.0,74.0,58.0,44.0,247.0,1,0.0,0.0,0.0,0.0,17.0
427153,1,27,4,2022-01-27,OO,N511SY,6259,12892,LAX,"Los Angeles, CA",CA,14893,SMF,"Sacramento, CA",CA,2215,2210.0,-5.0,0.0,0.0,-1.0,2200-2259,2350,2332.0,-18.0,0.0,0.0,-2.0,2300-2359,0.0,,0.0,95.0,82.0,58.0,373.0,2,,,,,
215096,1,9,7,2022-01-09,WN,N480WN,2910,12191,HOU,"Houston, TX",TX,14685,SAV,"Savannah, GA",GA,1325,1358.0,33.0,33.0,1.0,2.0,1300-1359,1630,1701.0,31.0,31.0,1.0,2.0,1600-1659,0.0,,0.0,125.0,123.0,105.0,853.0,4,0.0,0.0,0.0,0.0,31.0
195941,1,5,3,2022-01-05,WN,N567WN,459,12191,HOU,"Houston, TX",TX,13303,MIA,"Miami, FL",FL,1000,,,,,,1000-1059,1315,,,,,,1300-1359,1.0,A,0.0,135.0,,,955.0,4,,,,,
135071,1,26,3,2022-01-26,OH,N537EA,5149,15412,TYS,"Knoxville, TN",TN,11278,DCA,"Washington, DC",VA,629,620.0,-9.0,0.0,0.0,-1.0,0600-0659,800,805.0,5.0,5.0,0.0,0.0,0800-0859,0.0,,0.0,91.0,105.0,60.0,437.0,2,,,,,
111730,1,27,4,2022-01-27,MQ,N687JS,4308,11298,DFW,"Dallas/Fort Worth, TX",TX,11140,CRP,"Corpus Christi, TX",TX,1230,1227.0,-3.0,0.0,0.0,-1.0,1200-1259,1357,1358.0,1.0,1.0,0.0,0.0,1300-1359,0.0,,0.0,87.0,91.0,71.0,354.0,2,,,,,
402546,1,3,1,2022-01-03,B6,N324JB,1645,10721,BOS,"Boston, MA",MA,11057,CLT,"Charlotte, NC",NC,2100,2336.0,157.0,157.0,1.0,10.0,2100-2159,2326,150.0,144.0,144.0,1.0,9.0,2300-2359,0.0,,0.0,146.0,133.0,113.0,728.0,3,10.0,0.0,0.0,0.0,134.0
442337,1,31,1,2022-01-31,OO,N766SK,3100,13930,ORD,"Chicago, IL",IL,13487,MSP,"Minneapolis, MN",MN,1015,1147.0,92.0,92.0,1.0,6.0,1000-1059,1158,1316.0,78.0,78.0,1.0,5.0,1100-1159,0.0,,0.0,103.0,89.0,65.0,334.0,2,78.0,0.0,0.0,0.0,0.0
215491,1,9,7,2022-01-09,WN,,5331,12954,LGB,"Long Beach, CA",CA,12889,LAS,"Las Vegas, NV",NV,1000,,,,,,1000-1059,1105,,,,,,1100-1159,1.0,A,0.0,65.0,,,231.0,1,,,,,
501856,1,8,6,2022-01-08,UA,N69020,2396,12892,LAX,"Los Angeles, CA",CA,12889,LAS,"Las Vegas, NV",NV,1610,1605.0,-5.0,0.0,0.0,-1.0,1600-1659,1724,1722.0,-2.0,0.0,0.0,-1.0,1700-1759,0.0,,0.0,74.0,77.0,41.0,236.0,1,,,,,
53830,1,13,4,2022-01-13,DL,N395DZ,2332,13244,MEM,"Memphis, TN",TN,10397,ATL,"Atlanta, GA",GA,700,700.0,0.0,0.0,0.0,0.0,0700-0759,923,905.0,-18.0,0.0,0.0,-2.0,0900-0959,0.0,,0.0,83.0,65.0,48.0,332.0,2,,,,,
243850,1,16,7,2022-01-16,WN,N252WN,1437,12278,ICT,"Wichita, KS",KS,15016,STL,"St. Louis, MO",MO,1715,1728.0,13.0,13.0,0.0,0.0,1700-1759,1830,1831.0,1.0,1.0,0.0,0.0,1800-1859,0.0,,0.0,75.0,63.0,52.0,392.0,2,,,,,
558104,1,5,3,2022-01-05,YV,N84307,6174,12266,IAH,"Houston, TX",TX,12451,JAX,"Jacksonville, FL",FL,2010,2148.0,97.0,97.0,1.0,6.0,2000-2059,2316,34.0,78.0,78.0,1.0,5.0,2300-2359,0.0,,0.0,126.0,107.0,92.0,817.0,4,78.0,0.0,0.0,0.0,0.0
407920,1,12,3,2022-01-12,B6,N956JT,2193,12478,JFK,"New York, NY",NY,13303,MIA,"Miami, FL",FL,2000,1959.0,-1.0,0.0,0.0,-1.0,2000-2059,2321,2322.0,1.0,1.0,0.0,0.0,2300-2359,0.0,,0.0,201.0,203.0,155.0,1089.0,5,,,,,
