,Month,DayofMonth,DayOfWeek,FlightDate,Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,Origin,OriginCityName,OriginState,DestAirportID,Dest,DestCityName,DestState,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,selection
511225,2,16,3,2022-02-16,G7,N534GJ,4177,12264,IAD,"Washington, DC",VA,14524,RIC,"Richmond, VA",VA,2200,2200.0,0.0,0.0,0.0,0.0,2200-2259,2257,2258.0,1.0,1.0,0.0,0.0,2200-2259,0.0,,0.0,57.0,58.0,23.0,100.0,1,,,,,,0.0
37028,2,16,3,2022-02-16,OO,N914EV,5201,13241,MEI,"Meridian, MS",MS,12266,IAH,"Houston, TX",TX,620,619.0,-1.0,0.0,0.0,-1.0,0600-0659,810,736.0,-34.0,0.0,0.0,-2.0,0800-0859,0.0,,0.0,110.0,77.0,65.0,422.0,2,,,,,,0.0
350837,2,3,4,2022-02-03,NK,N534NK,1698,11433,DTW,"Detroit, MI",MI,13204,MCO,"Orlando, FL",FL,710,,,,,,0700-0759,957,,,,,,0900-0959,1.0,B,0.0,167.0,,,957.0,4,,,,,,
79375,2,4,5,2022-02-04,WN,N8655D,4,12191,HOU,"Houston, TX",TX,11259,DAL,"Dallas, TX",TX,700,,,,,,0700-0759,805,,,,,,0800-0859,1.0,A,0.0,65.0,,,239.0,1,,,,,,
106138,2,7,1,2022-02-07,WN,N923WN,189,15376,TUS,"Tucson, AZ",AZ,13796,OAK,"Oakland, CA",CA,1405,1407.0,2.0,2.0,0.0,0.0,1400-1459,1530,1504.0,-26.0,0.0,0.0,-2.0,1500-1559,0.0,,0.0,145.0,117.0,106.0,747.0,3,,,,,,0.0
368446,2,9,3,2022-02-09,OH,N558NN,5242,11278,DCA,"Washington, DC",VA,10257,ALB,"Albany, NY",NY,1459,1457.0,-2.0,0.0,0.0,-1.0,1400-1459,1625,1642.0,17.0,17.0,1.0,1.0,1600-1659,0.0,,0.0,86.0,105.0,56.0,318.0,2,0.0,0.0,17.0,0.0,0.0,1.0
177123,2,3,4,2022-02-03,AA,N909AM,1984,14107,PHX,"Phoenix, AZ",AZ,12889,LAS,"Las Vegas, NV",NV,2021,2017.0,-4.0,0.0,0.0,-1.0,2000-2059,2028,2020.0,-8.0,0.0,0.0,-1.0,2000-2059,0.0,,0.0,67.0,63.0,43.0,255.0,2,,,,,,0.0
253227,2,22,2,2022-02-22,B6,N996JL,2321,10721,BOS,"Boston, MA",MA,14027,PBI,"West Palm Beach/Palm Beach, FL",FL,1703,1854.0,111.0,111.0,1.0,7.0,1700-1759,2030,2222.0,112.0,112.0,1.0,7.0,2000-2059,0.0,,0.0,207.0,208.0,165.0,1197.0,5,72.0,0.0,1.0,0.0,39.0,1.0
240770,2,5,6,2022-02-05,B6,N358JB,2001,10792,BUF,"Buffalo, NY",NY,12478,JFK,"New York, NY",NY,710,,,,,,0700-0759,838,,,,,,0800-0859,1.0,B,0.0,88.0,,,301.0,2,,,,,,
105437,2,7,1,2022-02-07,WN,N7855A,291,14107,PHX,"Phoenix, AZ",AZ,15304,TPA,"Tampa, FL",FL,1740,1803.0,23.0,23.0,1.0,1.0,1700-1759,2315,2344.0,28.0,28.0,1.0,1.0,2300-2359,0.0,,0.0,215.0,220.0,207.0,1788.0,8,23.0,0.0,5.0,0.0,0.0,1.0
128215,2,10,4,2022-02-10,WN,N904WN,799,11066,CMH,"Columbus, OH",OH,11278,DCA,"Washington, DC",VA,1325,1328.0,3.0,3.0,0.0,0.0,1300-1359,1445,1431.0,-14.0,0.0,0.0,-1.0,1400-1459,0.0,,0.0,80.0,63.0,49.0,323.0,2,,,,,,0.0
173853,2,4,5,2022-02-04,AA,N748UW,999,11193,CVG,"Cincinnati, OH",KY,11057,CLT,"Charlotte, NC",NC,753,738.0,-15.0,0.0,0.0,-1.0,0700-0759,936,1019.0,43.0,43.0,1.0,2.0,0900-0959,0.0,,0.0,103.0,161.0,61.0,335.0,2,0.0,0.0,43.0,0.0,0.0,1.0
21284,2,5,6,2022-02-05,OO,N437SW,4787,13930,ORD,"Chicago, IL",IL,14696,SBN,"South Bend, IN",IN,1410,1403.0,-7.0,0.0,0.0,-1.0,1400-1459,1610,1550.0,-20.0,0.0,0.0,-2.0,1600-1659,0.0,,0.0,60.0,47.0,24.0,84.0,1,,,,,,0.0
11545,2,26,6,2022-02-26,OO,N192SY,3493,14570,RNO,"Reno, NV",NV,12892,LAX,"Los Angeles, CA",CA,1120,1120.0,0.0,0.0,0.0,0.0,1100-1159,1254,1326.0,32.0,32.0,1.0,2.0,1200-1259,0.0,,0.0,94.0,126.0,63.0,391.0,2,32.0,0.0,0.0,0.0,0.0,1.0
486928,2,20,7,2022-02-20,UA,N815UA,1791,14986,SRQ,"Sarasota/Bradenton, FL",FL,11292,DEN,"Denver, CO",CO,1602,1644.0,42.0,42.0,1.0,2.0,1600-1659,1810,1856.0,46.0,46.0,1.0,3.0,1800-1859,0.0,,0.0,248.0,252.0,223.0,1531.0,7,31.0,0.0,4.0,0.0,11.0,1.0
98157,2,24,4,2022-02-24,WN,,655,11259,DAL,"Dallas, TX",TX,13158,MAF,"Midland/Odessa, TX",TX,1155,,,,,,1100-1159,1325,,,,,,1300-1359,1.0,B,0.0,90.0,,,319.0,2,,,,,,
121517,2,26,6,2022-02-26,WN,N8725L,3115,13931,ORF,"Norfolk, VA",VA,13204,MCO,"Orlando, FL",FL,1730,1814.0,44.0,44.0,1.0,2.0,1700-1759,1940,2012.0,32.0,32.0,1.0,2.0,1900-1959,0.0,,0.0,130.0,118.0,97.0,655.0,3,0.0,0.0,0.0,0.0,32.0,1.0
420401,2,25,5,2022-02-25,YX,N725YX,3617,13930,ORD,"Chicago, IL",IL,10140,ABQ,"Albuquerque, NM",NM,915,916.0,1.0,1.0,0.0,0.0,0900-0959,1144,1210.0,26.0,26.0,1.0,1.0,1100-1159,0.0,,0.0,209.0,234.0,187.0,1118.0,5,1.0,0.0,25.0,0.0,0.0,1.0
