,Operating_Airline,Origin,OriginCityName,Dest,DestCityName,DistanceGroup
14584,YX,EWR,"Newark, NJ",CVG,"Cincinnati, OH",3
14608,OH,CLT,"Charlotte, NC",CAE,"Columbia, SC",1
14612,F9,MSY,"New Orleans, LA",MCO,"Orlando, FL",3
14623,AA,MSY,"New Orleans, LA",DCA,"Washington, DC",4
14707,ZW,GRB,"Green Bay, WI",ORD,"Chicago, IL",1
14771,WN,ORD,"Chicago, IL",AUS,"Austin, TX",4
14791,AA,LAX,"Los Angeles, CA",ATL,"Atlanta, GA",8
14814,WN,PHL,"Philadelphia, PA",FLL,"Fort Lauderdale, FL",4
14820,MQ,ORD,"Chicago, IL",GRR,"Grand Rapids, MI",1
14836,9E,LGA,"New York, NY",IND,"Indianapolis, IN",3
14839,AA,FLL,"Fort Lauderdale, FL",JFK,"New York, NY",5
14876,F9,DEN,"Denver, CO",AUS,"Austin, TX",4
14883,MQ,RDU,"Raleigh/Durham, NC",DCA,"Washington, DC",1
14889,PT,CLT,"Charlotte, NC",GSP,"Greer, SC",1
14917,OO,PHX,"Phoenix, AZ",BUR,"Burbank, CA",2
14952,WN,MCO,"Orlando, FL",LGA,"New York, NY",4
14986,WN,MCO,"Orlando, FL",IAH,"Houston, TX",4
15031,OO,BUR,"Burbank, CA",PHX,"Phoenix, AZ",2
15074,WN,DCA,"Washington, DC",PVD,"Providence, RI",2
15090,F9,DEN,"Denver, CO",SEA,"Seattle, WA",5
15111,WN,LAS,"Las Vegas, NV",PDX,"Portland, OR",4
15123,AA,BOS,"Boston, MA",ORD,"Chicago, IL",4
15136,YV,DTW,"Detroit, MI",IAH,"Houston, TX",5
15141,NK,DFW,"Dallas/Fort Worth, TX",TPA,"Tampa, FL",4
15172,UA,MSP,"Minneapolis, MN",EWR,"Newark, NJ",5
15175,MQ,DFW,"Dallas/Fort Worth, TX",AUS,"Austin, TX",1
15188,F9,LAS,"Las Vegas, NV",SLC,"Salt Lake City, UT",2
15190,WN,ATL,"Atlanta, GA",IAD,"Washington, DC",3
15204,MQ,OMA,"Omaha, NE",ORD,"Chicago, IL",2
15419,WN,SJC,"San Jose, CA",PDX,"Portland, OR",3
15442,YX,IAH,"Houston, TX",ORD,"Chicago, IL",4
15479,G7,IAD,"Washington, DC",EWR,"Newark, NJ",1
15490,UA,DEN,"Denver, CO",ICT,"Wichita, KS",2
15575,OH,CLT,"Charlotte, NC",RDU,"Raleigh/Durham, NC",1
15593,DL,DEN,"Denver, CO",SEA,"Seattle, WA",5
15598,WN,SAN,"San Diego, CA",SLC,"Salt Lake City, UT",3
15628,OO,DFW,"Dallas/Fort Worth, TX",ORD,"Chicago, IL",4
15638,OO,MSN,"Madison, WI",ORD,"Chicago, IL",1
15750,MQ,ORD,"Chicago, IL",RDU,"Raleigh/Durham, NC",3
15776,F9,LGA,"New York, NY",ATL,"Atlanta, GA",4
15781,F9,MSP,"Minneapolis, MN",DEN,"Denver, CO",3
16088,MQ,DFW,"Dallas/Fort Worth, TX",MCI,"Kansas City, MO",2
16201,WN,CLE,"Cleveland, OH",ATL,"Atlanta, GA",3
16253,OO,BNA,"Nashville, TN",DEN,"Denver, CO",5
16433,C5,ABQ,"Albuquerque, NM",DEN,"Denver, CO",2
16440,WN,MKE,"Milwaukee, WI",ATL,"Atlanta, GA",3
16490,YX,EWR,"Newark, NJ",BOS,"Boston, MA",1
16569,MQ,ATL,"Atlanta, GA",ORD,"Chicago, IL",3
16586,WN,OKC,"Oklahoma City, OK",ATL,"Atlanta, GA",4
16668,MQ,ORD,"Chicago, IL",BWI,"Baltimore, MD",3
16718,UA,PSP,"Palm Springs, CA",SFO,"San Francisco, CA",2
16758,F9,MIA,"Miami, FL",BWI,"Baltimore, MD",4
16799,ZW,ORD,"Chicago, IL",CVG,"Cincinnati, OH",2
16821,WN,BNA,"Nashville, TN",CLT,"Charlotte, NC",2
16863,YX,PIT,"Pittsburgh, PA",CLT,"Charlotte, NC",2
16903,F9,ATL,"Atlanta, GA",TPA,"Tampa, FL",2
17006,OO,LGB,"Long Beach, CA",PHX,"Phoenix, AZ",2
17059,NK,PHL,"Philadelphia, PA",LAX,"Los Angeles, CA",10
17150,F9,LAS,"Las Vegas, NV",SMF,"Sacramento, CA",2
17152,F9,MIA,"Miami, FL",DEN,"Denver, CO",7
17229,G7,ORD,"Chicago, IL",DCA,"Washington, DC",3
17274,YV,DFW,"Dallas/Fort Worth, TX",TUL,"Tulsa, OK",1
17323,NK,IAH,"Houston, TX",ORD,"Chicago, IL",4
17374,OO,OMA,"Omaha, NE",DEN,"Denver, CO",2
17392,MQ,DCA,"Washington, DC",RDU,"Raleigh/Durham, NC",1
17432,WN,LAX,"Los Angeles, CA",TUS,"Tucson, AZ",2
17450,MQ,MSP,"Minneapolis, MN",ORD,"Chicago, IL",2
17509,B6,FLL,"Fort Lauderdale, FL",ORD,"Chicago, IL",5
17528,F9,RNO,"Reno, NV",LAS,"Las Vegas, NV",2
17536,F9,LGA,"New York, NY",TPA,"Tampa, FL",5
17540,UA,ATL,"Atlanta, GA",IAD,"Washington, DC",3
17596,G7,RDU,"Raleigh/Durham, NC",EWR,"Newark, NJ",2
17780,F9,DEN,"Denver, CO",TUL,"Tulsa, OK",3
17799,PT,PHL,"Philadelphia, PA",DTW,"Detroit, MI",2
17972,NK,CLT,"Charlotte, NC",FLL,"Fort Lauderdale, FL",3
17983,B6,BOS,"Boston, MA",MSP,"Minneapolis, MN",5
18013,HA,SEA,"Seattle, WA",HNL,"Honolulu, HI",11
18038,WN,SLC,"Salt Lake City, UT",SAN,"San Diego, CA",3
18051,PT,TYS,"Knoxville, TN",CLT,"Charlotte, NC",1
18131,YX,LGA,"New York, NY",ORD,"Chicago, IL",3
18179,OH,CLT,"Charlotte, NC",ATL,"Atlanta, GA",1
18194,NK,MIA,"Miami, FL",DFW,"Dallas/Fort Worth, TX",5
18200,MQ,IAH,"Houston, TX",ORD,"Chicago, IL",4
18247,NK,MSP,"Minneapolis, MN",LAS,"Las Vegas, NV",6
18275,NK,BDL,"Hartford, CT",MCO,"Orlando, FL",5
18301,OO,PHX,"Phoenix, AZ",SLC,"Salt Lake City, UT",3
18363,OH,PHL,"Philadelphia, PA",BNA,"Nashville, TN",3
18395,PT,ILM,"Wilmington, NC",CLT,"Charlotte, NC",1
18413,B6,JFK,"New York, NY",BNA,"Nashville, TN",4
18539,MQ,GRB,"Green Bay, WI",ORD,"Chicago, IL",1
18608,F9,MCO,"Orlando, FL",RDU,"Raleigh/Durham, NC",3
18623,C5,IAH,"Houston, TX",OKC,"Oklahoma City, OK",2
18655,F9,ATL,"Atlanta, GA",DEN,"Denver, CO",5
18658,NK,LAX,"Los Angeles, CA",ATL,"Atlanta, GA",8
18748,F9,MCO,"Orlando, FL",IAH,"Houston, TX",4
18832,OH,DTW,"Detroit, MI",DCA,"Washington, DC",2
18865,F9,AUS,"Austin, TX",LAS,"Las Vegas, NV",5
18876,AA,JFK,"New York, NY",FLL,"Fort Lauderdale, FL",5
18992,G7,ORD,"Chicago, IL",IND,"Indianapolis, IN",1
19049,YV,IAH,"Houston, TX",OKC,"Oklahoma City, OK",2
19089,OO,PHX,"Phoenix, AZ",LGB,"Long Beach, CA",2
19198,F9,DEN,"Denver, CO",SMF,"Sacramento, CA",4
19226,MQ,BNA,"Nashville, TN",ORD,"Chicago, IL",2
19403,YX,DTW,"Detroit, MI",ORD,"Chicago, IL",1
19415,YX,STL,"St. Louis, MO",DCA,"Washington, DC",3
19427,F9,EWR,"Newark, NJ",ATL,"Atlanta, GA",3
19461,YV,CLT,"Charlotte, NC",ORD,"Chicago, IL",3
19677,ZW,PHL,"Philadelphia, PA",ORD,"Chicago, IL",3
19837,B6,BOS,"Boston, MA",ORD,"Chicago, IL",4
19877,WN,MCO,"Orlando, FL",DTW,"Detroit, MI",4
19969,OH,BNA,"Nashville, TN",PHL,"Philadelphia, PA",3
20072,F9,OAK,"Oakland, CA",LAS,"Las Vegas, NV",2
20203,ZW,BWI,"Baltimore, MD",ORD,"Chicago, IL",3
20371,QX,SEA,"Seattle, WA",SMF,"Sacramento, CA",3
20380,AA,DEN,"Denver, CO",MIA,"Miami, FL",7
20396,MQ,SLC,"Salt Lake City, UT",ORD,"Chicago, IL",6
20410,9E,IND,"Indianapolis, IN",LGA,"New York, NY",3
20532,AA,LAX,"Los Angeles, CA",SFO,"San Francisco, CA",2
20553,MQ,DFW,"Dallas/Fort Worth, TX",TUL,"Tulsa, OK",1
20555,9E,CMH,"Columbus, OH",LGA,"New York, NY",2
20727,NK,SNA,"Santa Ana, CA",SMF,"Sacramento, CA",2
20857,UA,ORD,"Chicago, IL",BUF,"Buffalo, NY",2
20896,WN,LAS,"Las Vegas, NV",ORD,"Chicago, IL",7
20961,NK,LAS,"Las Vegas, NV",AUS,"Austin, TX",5
20981,F9,PHX,"Phoenix, AZ",DFW,"Dallas/Fort Worth, TX",4
21134,NK,BOS,"Boston, MA",TPA,"Tampa, FL",5
21157,OH,RDU,"Raleigh/Durham, NC",CLT,"Charlotte, NC",1
21230,B6,AUS,"Austin, TX",LAX,"Los Angeles, CA",5
21283,NK,LAS,"Las Vegas, NV",CLT,"Charlotte, NC",8
21454,OO,MSY,"New Orleans, LA",IAH,"Houston, TX",2
21455,F9,LGA,"New York, NY",MIA,"Miami, FL",5
21487,UA,IAH,"Houston, TX",OKC,"Oklahoma City, OK",2
21546,DL,MIA,"Miami, FL",RDU,"Raleigh/Durham, NC",3
21553,YX,CLT,"Charlotte, NC",IAD,"Washington, DC",2
21651,NK,BWI,"Baltimore, MD",TPA,"Tampa, FL",4
21693,NK,DTW,"Detroit, MI",PHX,"Phoenix, AZ",7
21703,F9,DEN,"Denver, CO",DTW,"Detroit, MI",5
21705,YV,PIT,"Pittsburgh, PA",ORD,"Chicago, IL",2
21728,NK,ATL,"Atlanta, GA",DTW,"Detroit, MI",3
21801,NK,TPA,"Tampa, FL",BWI,"Baltimore, MD",4
21855,F9,SAN,"San Diego, CA",DFW,"Dallas/Fort Worth, TX",5
21870,NK,PHX,"Phoenix, AZ",MSP,"Minneapolis, MN",6
21885,YV,ORD,"Chicago, IL",PHL,"Philadelphia, PA",3
21940,UA,SFO,"San Francisco, CA",PSP,"Palm Springs, CA",2
22184,F9,PHX,"Phoenix, AZ",ONT,"Ontario, CA",2
22223,AA,ORD,"Chicago, IL",MSP,"Minneapolis, MN",2
22235,G7,CLT,"Charlotte, NC",EWR,"Newark, NJ",3
22260,DL,SEA,"Seattle, WA",SFO,"San Francisco, CA",3
22373,B6,RNO,"Reno, NV",LAX,"Los Angeles, CA",2
22393,B6,LAX,"Los Angeles, CA",MCO,"Orlando, FL",9
22414,9E,DTW,"Detroit, MI",EWR,"Newark, NJ",2
22468,B6,ATL,"Atlanta, GA",FLL,"Fort Lauderdale, FL",3
22497,YX,BNA,"Nashville, TN",BOS,"Boston, MA",4
22590,YX,ORD,"Chicago, IL",CLE,"Cleveland, OH",2
22726,OO,ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ",2
22828,B6,EWR,"Newark, NJ",ATL,"Atlanta, GA",3
22833,AA,MSP,"Minneapolis, MN",ORD,"Chicago, IL",2
22922,NK,RDU,"Raleigh/Durham, NC",MCO,"Orlando, FL",3
23066,YV,PHX,"Phoenix, AZ",BUR,"Burbank, CA",2
23081,F9,BUR,"Burbank, CA",LAS,"Las Vegas, NV",1
23093,OO,DEN,"Denver, CO",SJC,"San Jose, CA",4
23124,YV,MFE,"Mission/McAllen/Edinburg, TX",DFW,"Dallas/Fort Worth, TX",2
23150,YX,ORD,"Chicago, IL",MSN,"Madison, WI",1
23157,9E,PIT,"Pittsburgh, PA",BOS,"Boston, MA",2
23247,F9,MCO,"Orlando, FL",CLT,"Charlotte, NC",2
23446,F9,IAH,"Houston, TX",DEN,"Denver, CO",4
23538,OO,ORD,"Chicago, IL",PHL,"Philadelphia, PA",3
23677,B6,BOS,"Boston, MA",SEA,"Seattle, WA",10
23703,OO,DFW,"Dallas/Fort Worth, TX",AUS,"Austin, TX",1
23719,NK,BNA,"Nashville, TN",LGA,"New York, NY",4
23729,WN,AUS,"Austin, TX",SAN,"San Diego, CA",5
23755,OO,SLC,"Salt Lake City, UT",SEA,"Seattle, WA",3
23762,NK,MIA,"Miami, FL",BOS,"Boston, MA",6
23789,G4,OAK,"Oakland, CA",LAS,"Las Vegas, NV",2
23798,F9,PHL,"Philadelphia, PA",BNA,"Nashville, TN",3
23816,YV,ATL,"Atlanta, GA",ORD,"Chicago, IL",3
23868,NK,DFW,"Dallas/Fort Worth, TX",ATL,"Atlanta, GA",3
23982,NK,STL,"St. Louis, MO",MCO,"Orlando, FL",4
24064,YV,ORD,"Chicago, IL",MCI,"Kansas City, MO",2
24110,F9,ONT,"Ontario, CA",DEN,"Denver, CO",4
24140,G4,LAS,"Las Vegas, NV",AUS,"Austin, TX",5
24144,OO,MCI,"Kansas City, MO",ORD,"Chicago, IL",2
24347,YV,OMA,"Omaha, NE",ORD,"Chicago, IL",2
24358,G4,AUS,"Austin, TX",LAS,"Las Vegas, NV",5
24608,YV,SLC,"Salt Lake City, UT",PHX,"Phoenix, AZ",3
24662,NK,IAH,"Houston, TX",EWR,"Newark, NJ",6
24734,G4,CVG,"Cincinnati, OH",EWR,"Newark, NJ",3
24789,NK,RSW,"Fort Myers, FL",EWR,"Newark, NJ",5
24889,F9,BDL,"Hartford, CT",MCO,"Orlando, FL",5
25300,YV,ICT,"Wichita, KS",DFW,"Dallas/Fort Worth, TX",2
25351,B6,ATL,"Atlanta, GA",EWR,"Newark, NJ",3
25398,OO,ORD,"Chicago, IL",EWR,"Newark, NJ",3
25436,B6,LAX,"Los Angeles, CA",SLC,"Salt Lake City, UT",3
25798,UA,OKC,"Oklahoma City, OK",IAH,"Houston, TX",2
26083,F9,PDX,"Portland, OR",LAS,"Las Vegas, NV",4
26267,MQ,CLT,"Charlotte, NC",PIT,"Pittsburgh, PA",2
26308,YV,IAD,"Washington, DC",LGA,"New York, NY",1
26309,F9,SMF,"Sacramento, CA",PHX,"Phoenix, AZ",3
26363,YX,CVG,"Cincinnati, OH",ORD,"Chicago, IL",2
26535,UA,DEN,"Denver, CO",DTW,"Detroit, MI",5
26617,F9,DEN,"Denver, CO",SAT,"San Antonio, TX",4
26700,OO,OKC,"Oklahoma City, OK",DFW,"Dallas/Fort Worth, TX",1
27124,DL,DEN,"Denver, CO",LGA,"New York, NY",7
27660,F9,ABQ,"Albuquerque, NM",DEN,"Denver, CO",2
27691,OO,ORD,"Chicago, IL",SDF,"Louisville, KY",2
27786,YV,DFW,"Dallas/Fort Worth, TX",MFE,"Mission/McAllen/Edinburg, TX",2
27948,YX,CLT,"Charlotte, NC",ILM,"Wilmington, NC",1
27949,AS,LAX,"Los Angeles, CA",OGG,"Kahului, HI",10
28067,OO,IAH,"Houston, TX",SAT,"San Antonio, TX",1
28842,NK,LAS,"Las Vegas, NV",BUR,"Burbank, CA",1
29010,B6,BOS,"Boston, MA",DTW,"Detroit, MI",3
29132,F9,ONT,"Ontario, CA",PHX,"Phoenix, AZ",2
29165,ZW,ORD,"Chicago, IL",PHL,"Philadelphia, PA",3
29212,MQ,DTW,"Detroit, MI",ORD,"Chicago, IL",1
29386,AA,DEN,"Denver, CO",LAX,"Los Angeles, CA",4
29462,YX,ORD,"Chicago, IL",EWR,"Newark, NJ",3
29467,UA,EWR,"Newark, NJ",PIT,"Pittsburgh, PA",2
29566,F9,DTW,"Detroit, MI",DEN,"Denver, CO",5
29972,YV,IAH,"Houston, TX",SAT,"San Antonio, TX",1
29986,QX,SJC,"San Jose, CA",PDX,"Portland, OR",3
29989,WN,ATL,"Atlanta, GA",PHL,"Philadelphia, PA",3
30083,OO,BUF,"Buffalo, NY",ORD,"Chicago, IL",2
30161,QX,LAX,"Los Angeles, CA",SJC,"San Jose, CA",2
30526,B6,LAX,"Los Angeles, CA",RNO,"Reno, NV",2
31085,YV,CVG,"Cincinnati, OH",ORD,"Chicago, IL",2
31573,NK,LGA,"New York, NY",BNA,"Nashville, TN",4
31700,9E,JAN,"Jackson/Vicksburg, MS",ATL,"Atlanta, GA",2
31787,B6,ORD,"Chicago, IL",FLL,"Fort Lauderdale, FL",5
31897,AA,IAH,"Houston, TX",LGA,"New York, NY",6
31952,UA,ATL,"Atlanta, GA",IAH,"Houston, TX",3
32128,NK,SJU,"San Juan, PR",EWR,"Newark, NJ",7
32194,OO,SEA,"Seattle, WA",OAK,"Oakland, CA",3
32383,F9,AUS,"Austin, TX",DEN,"Denver, CO",4
32411,UA,LAX,"Los Angeles, CA",SEA,"Seattle, WA",4
32414,NK,PHX,"Phoenix, AZ",LAS,"Las Vegas, NV",2
32436,9E,PHL,"Philadelphia, PA",BOS,"Boston, MA",2
32671,F9,LAS,"Las Vegas, NV",MSP,"Minneapolis, MN",6
32952,NK,LAX,"Los Angeles, CA",PHL,"Philadelphia, PA",10
33115,WN,ATL,"Atlanta, GA",SDF,"Louisville, KY",2
33224,F9,DEN,"Denver, CO",DSM,"Des Moines, IA",3
33480,NK,DFW,"Dallas/Fort Worth, TX",PHX,"Phoenix, AZ",4
33661,AA,ORD,"Chicago, IL",MCI,"Kansas City, MO",2
67564,YV,PHL,"Philadelphia, PA",ORD,"Chicago, IL",3
67584,AS,SAN,"San Diego, CA",AUS,"Austin, TX",5
67592,YV,XNA,"Fayetteville, AR",DFW,"Dallas/Fort Worth, TX",2
67638,YV,DFW,"Dallas/Fort Worth, TX",MCI,"Kansas City, MO",2
67646,YV,ORD,"Chicago, IL",BNA,"Nashville, TN",2
67676,NK,ORD,"Chicago, IL",DFW,"Dallas/Fort Worth, TX",4
67702,YX,EWR,"Newark, NJ",DCA,"Washington, DC",1
67718,QX,LAS,"Las Vegas, NV",PDX,"Portland, OR",4
67807,AS,LAX,"Los Angeles, CA",HNL,"Honolulu, HI",11
67992,OO,ORD,"Chicago, IL",RDU,"Raleigh/Durham, NC",3
68191,OH,CLT,"Charlotte, NC",STL,"St. Louis, MO",3
68347,YX,ORD,"Chicago, IL",CLT,"Charlotte, NC",3
68469,F9,PHX,"Phoenix, AZ",BUR,"Burbank, CA",2
68471,F9,FLL,"Fort Lauderdale, FL",PHL,"Philadelphia, PA",4
68624,WN,BOS,"Boston, MA",MCO,"Orlando, FL",5
68651,UA,TUL,"Tulsa, OK",DEN,"Denver, CO",3
68881,OO,ATW,"Appleton, WI",ORD,"Chicago, IL",1
68917,YX,ORD,"Chicago, IL",ATL,"Atlanta, GA",3
69121,F9,DEN,"Denver, CO",DFW,"Dallas/Fort Worth, TX",3
69202,YX,ATL,"Atlanta, GA",LEX,"Lexington, KY",2
69366,AA,ILM,"Wilmington, NC",CLT,"Charlotte, NC",1
69420,AS,SEA,"Seattle, WA",OAK,"Oakland, CA",3
69499,YV,ORD,"Chicago, IL",CVG,"Cincinnati, OH",2
69595,UA,ORD,"Chicago, IL",IND,"Indianapolis, IN",1
69599,F9,DFW,"Dallas/Fort Worth, TX",SAN,"San Diego, CA",5
69646,YX,CLT,"Charlotte, NC",GSO,"Greensboro/High Point, NC",1
69710,OO,ELP,"El Paso, TX",DFW,"Dallas/Fort Worth, TX",3
69772,AS,OAK,"Oakland, CA",SEA,"Seattle, WA",3
69936,YX,ORD,"Chicago, IL",DSM,"Des Moines, IA",2
69961,YX,LEX,"Lexington, KY",ATL,"Atlanta, GA",2
70082,B6,JFK,"New York, NY",PHX,"Phoenix, AZ",9
70163,OO,ELP,"El Paso, TX",PHX,"Phoenix, AZ",2
70219,OO,LGA,"New York, NY",IAH,"Houston, TX",6
70239,OO,ORD,"Chicago, IL",BUF,"Buffalo, NY",2
70276,YX,EWR,"Newark, NJ",PBI,"West Palm Beach/Palm Beach, FL",5
70446,YX,CHS,"Charleston, SC",LGA,"New York, NY",3
70463,MQ,ORD,"Chicago, IL",TVC,"Traverse City, MI",1
70574,DL,RDU,"Raleigh/Durham, NC",BOS,"Boston, MA",3
70584,YV,TUL,"Tulsa, OK",DFW,"Dallas/Fort Worth, TX",1
70591,OO,IAH,"Houston, TX",ORD,"Chicago, IL",4
70661,YV,OKC,"Oklahoma City, OK",DFW,"Dallas/Fort Worth, TX",1
70684,YX,ORF,"Norfolk, VA",CLT,"Charlotte, NC",2
70688,QX,LAX,"Los Angeles, CA",PDX,"Portland, OR",4
70973,AS,LAX,"Los Angeles, CA",LAS,"Las Vegas, NV",1
70975,F9,MIA,"Miami, FL",RDU,"Raleigh/Durham, NC",3
70992,9E,BOS,"Boston, MA",RDU,"Raleigh/Durham, NC",3
71047,YX,MSN,"Madison, WI",ORD,"Chicago, IL",1
71062,OO,ORD,"Chicago, IL",MCI,"Kansas City, MO",2
71094,G7,ORD,"Chicago, IL",BUF,"Buffalo, NY",2
71509,OO,AUS,"Austin, TX",ORD,"Chicago, IL",4
71562,C5,DEN,"Denver, CO",OMA,"Omaha, NE",2
71690,UA,MSP,"Minneapolis, MN",IAH,"Houston, TX",5
71694,AA,CLT,"Charlotte, NC",ILM,"Wilmington, NC",1
71735,UA,ORD,"Chicago, IL",PIT,"Pittsburgh, PA",2
71770,AS,AUS,"Austin, TX",SAN,"San Diego, CA",5
71794,YX,PBI,"West Palm Beach/Palm Beach, FL",EWR,"Newark, NJ",5
71928,OO,LAX,"Los Angeles, CA",AUS,"Austin, TX",5
72316,YX,GSO,"Greensboro/High Point, NC",CLT,"Charlotte, NC",1
72522,OO,DFW,"Dallas/Fort Worth, TX",MFE,"Mission/McAllen/Edinburg, TX",2
72601,OO,AUS,"Austin, TX",IAH,"Houston, TX",1
72704,DL,BOS,"Boston, MA",RDU,"Raleigh/Durham, NC",3
73027,OO,DFW,"Dallas/Fort Worth, TX",IAH,"Houston, TX",1
73143,YX,PHL,"Philadelphia, PA",BNA,"Nashville, TN",3
73445,F9,DEN,"Denver, CO",OKC,"Oklahoma City, OK",2
73599,YV,SLC,"Salt Lake City, UT",IAH,"Houston, TX",5
73725,OO,MFE,"Mission/McAllen/Edinburg, TX",DFW,"Dallas/Fort Worth, TX",2
73809,YX,DCA,"Washington, DC",MSP,"Minneapolis, MN",4
73852,G4,EWR,"Newark, NJ",CVG,"Cincinnati, OH",3
74073,B6,LGA,"New York, NY",BNA,"Nashville, TN",4
74335,OO,ORD,"Chicago, IL",IAH,"Houston, TX",4
74422,OO,ICT,"Wichita, KS",DFW,"Dallas/Fort Worth, TX",2
74484,YX,IAD,"Washington, DC",ATL,"Atlanta, GA",3
74633,MQ,MIA,"Miami, FL",BWI,"Baltimore, MD",4
74693,G7,PHL,"Philadelphia, PA",ORD,"Chicago, IL",3
74705,QX,PDX,"Portland, OR",LAS,"Las Vegas, NV",4
74726,YX,DFW,"Dallas/Fort Worth, TX",ORD,"Chicago, IL",4
74947,NK,ATL,"Atlanta, GA",LAS,"Las Vegas, NV",7
75013,MQ,AUS,"Austin, TX",DEN,"Denver, CO",4
75085,C5,ICT,"Wichita, KS",DEN,"Denver, CO",2
75208,F9,FLL,"Fort Lauderdale, FL",ATL,"Atlanta, GA",3
75275,MQ,ORD,"Chicago, IL",DTW,"Detroit, MI",1
75843,G7,ORD,"Chicago, IL",OMA,"Omaha, NE",2
76003,F9,MCI,"Kansas City, MO",DEN,"Denver, CO",3
76158,MQ,BWI,"Baltimore, MD",MIA,"Miami, FL",4
76253,UA,MKE,"Milwaukee, WI",DEN,"Denver, CO",4
76335,YX,DTW,"Detroit, MI",PHL,"Philadelphia, PA",2
76384,UA,CVG,"Cincinnati, OH",ORD,"Chicago, IL",2
76479,YX,ORD,"Chicago, IL",CVG,"Cincinnati, OH",2
76602,B6,DTW,"Detroit, MI",BOS,"Boston, MA",3
76853,QX,SEA,"Seattle, WA",SAN,"San Diego, CA",5
76988,ZW,CMH,"Columbus, OH",ORD,"Chicago, IL",2
77296,YX,CLT,"Charlotte, NC",ORF,"Norfolk, VA",2
77337,UA,DEN,"Denver, CO",MKE,"Milwaukee, WI",4
77501,F9,IAH,"Houston, TX",MCO,"Orlando, FL",4
77586,PT,PHL,"Philadelphia, PA",BNA,"Nashville, TN",3
77786,YV,DFW,"Dallas/Fort Worth, TX",AUS,"Austin, TX",1
77972,F9,DEN,"Denver, CO",STL,"St. Louis, MO",4
78028,YV,MCI,"Kansas City, MO",DFW,"Dallas/Fort Worth, TX",2
78057,WN,FLL,"Fort Lauderdale, FL",PHL,"Philadelphia, PA",4
78294,YX,BNA,"Nashville, TN",PHL,"Philadelphia, PA",3
78558,G7,BUF,"Buffalo, NY",ORD,"Chicago, IL",2
78668,G4,LAS,"Las Vegas, NV",SAN,"San Diego, CA",2
78743,PT,ORD,"Chicago, IL",RIC,"Richmond, VA",3
78831,OO,PHX,"Phoenix, AZ",ONT,"Ontario, CA",2
79110,OO,OAK,"Oakland, CA",PDX,"Portland, OR",3
79138,G7,EWR,"Newark, NJ",CLT,"Charlotte, NC",3
79319,YV,DFW,"Dallas/Fort Worth, TX",OKC,"Oklahoma City, OK",1
79567,F9,TPA,"Tampa, FL",LGA,"New York, NY",5
79681,OO,DFW,"Dallas/Fort Worth, TX",ELP,"El Paso, TX",3
79847,9E,LGA,"New York, NY",MCI,"Kansas City, MO",5
79957,YX,PHL,"Philadelphia, PA",DTW,"Detroit, MI",2
80036,F9,TPA,"Tampa, FL",DFW,"Dallas/Fort Worth, TX",4
80237,G7,DSM,"Des Moines, IA",ORD,"Chicago, IL",2
80446,YV,AUS,"Austin, TX",DFW,"Dallas/Fort Worth, TX",1
80518,F9,BWI,"Baltimore, MD",DEN,"Denver, CO",6
80568,ZW,OMA,"Omaha, NE",ORD,"Chicago, IL",2
80875,MQ,DEN,"Denver, CO",AUS,"Austin, TX",4
81346,OH,CLT,"Charlotte, NC",EWR,"Newark, NJ",3
81366,YV,SMF,"Sacramento, CA",PHX,"Phoenix, AZ",3
81453,UA,IAH,"Houston, TX",MSP,"Minneapolis, MN",5
81654,OO,DFW,"Dallas/Fort Worth, TX",CRP,"Corpus Christi, TX",2
81929,G4,SAN,"San Diego, CA",LAS,"Las Vegas, NV",2
82070,YV,PHX,"Phoenix, AZ",IAH,"Houston, TX",5
82328,OO,CLT,"Charlotte, NC",IAH,"Houston, TX",4
82596,F9,SMF,"Sacramento, CA",DEN,"Denver, CO",4
82694,YV,IAH,"Houston, TX",SLC,"Salt Lake City, UT",5
82816,G7,ORD,"Chicago, IL",MSN,"Madison, WI",1
83856,G7,MSN,"Madison, WI",ORD,"Chicago, IL",1
83992,OO,PHX,"Phoenix, AZ",ELP,"El Paso, TX",2
84248,YX,ORD,"Chicago, IL",DFW,"Dallas/Fort Worth, TX",4
84550,OH,EWR,"Newark, NJ",CLT,"Charlotte, NC",3
85078,OO,DFW,"Dallas/Fort Worth, TX",ICT,"Wichita, KS",2
85618,PT,BNA,"Nashville, TN",PHL,"Philadelphia, PA",3
85707,UA,DTW,"Detroit, MI",EWR,"Newark, NJ",2
86040,F9,DFW,"Dallas/Fort Worth, TX",TPA,"Tampa, FL",4
86152,ZW,ORD,"Chicago, IL",OMA,"Omaha, NE",2
86492,OO,RDU,"Raleigh/Durham, NC",ORD,"Chicago, IL",3
86747,B6,BNA,"Nashville, TN",LGA,"New York, NY",4
86975,YX,CLT,"Charlotte, NC",CHS,"Charleston, SC",1
86979,OO,PDX,"Portland, OR",OAK,"Oakland, CA",3
87281,F9,MSY,"New Orleans, LA",ATL,"Atlanta, GA",2
87591,OO,AUS,"Austin, TX",DEN,"Denver, CO",4
87983,YV,DCA,"Washington, DC",ORD,"Chicago, IL",3
88100,OO,ONT,"Ontario, CA",PHX,"Phoenix, AZ",2
88446,F9,DEN,"Denver, CO",BNA,"Nashville, TN",5
