,Operating_Airline,Origin,OriginCityName,Dest,DestCityName,DistanceGroup
8591,YV,ORD,"Chicago, IL",DFW,"Dallas/Fort Worth, TX",4
8593,F9,LAS,"Las Vegas, NV",ORD,"Chicago, IL",7
8602,OO,BWI,"Baltimore, MD",ORD,"Chicago, IL",3
8639,F9,PHL,"Philadelphia, PA",ATL,"Atlanta, GA",3
8654,QX,OAK,"Oakland, CA",PDX,"Portland, OR",3
8657,9E,LGA,"New York, NY",BNA,"Nashville, TN",4
8695,MQ,ORD,"Chicago, IL",MSN,"Madison, WI",1
8726,UA,SFO,"San Francisco, CA",JFK,"New York, NY",11
8749,QX,SLC,"Salt Lake City, UT",SEA,"Seattle, WA",3
8767,ZW,CVG,"Cincinnati, OH",ORD,"Chicago, IL",2
8768,UA,DEN,"Denver, CO",PDX,"Portland, OR",4
8781,WN,IAD,"Washington, DC",ATL,"Atlanta, GA",3
8793,WN,FLL,"Fort Lauderdale, FL",DCA,"Washington, DC",4
8794,UA,ORD,"Chicago, IL",SLC,"Salt Lake City, UT",6
8796,G7,ORD,"Chicago, IL",PIT,"Pittsburgh, PA",2
8797,F9,MSY,"New Orleans, LA",DEN,"Denver, CO",5
8813,YV,IAD,"Washington, DC",CLT,"Charlotte, NC",2
8818,NK,RDU,"Raleigh/Durham, NC",MIA,"Miami, FL",3
8827,F9,MIA,"Miami, FL",BOS,"Boston, MA",6
8847,NK,SMF,"Sacramento, CA",LAS,"Las Vegas, NV",2
8848,G4,SNA,"Santa Ana, CA",LAS,"Las Vegas, NV",1
8850,F9,MIA,"Miami, FL",ATL,"Atlanta, GA",3
8856,F9,ATL,"Atlanta, GA",BWI,"Baltimore, MD",3
8869,F9,TUL,"Tulsa, OK",DEN,"Denver, CO",3
8874,DL,BNA,"Nashville, TN",LGA,"New York, NY",4
8877,AA,DFW,"Dallas/Fort Worth, TX",JFK,"New York, NY",6
8883,DL,HNL,"Honolulu, HI",SEA,"Seattle, WA",11
8891,QX,SFO,"San Francisco, CA",PHX,"Phoenix, AZ",3
8920,B6,FLL,"Fort Lauderdale, FL",ATL,"Atlanta, GA",3
8922,F9,DTW,"Detroit, MI",LAS,"Las Vegas, NV",7
8931,NK,PDX,"Portland, OR",LAS,"Las Vegas, NV",4
8933,UA,SLC,"Salt Lake City, UT",ORD,"Chicago, IL",6
8941,NK,LGA,"New York, NY",MCO,"Orlando, FL",4
8966,WN,MEM,"Memphis, TN",ATL,"Atlanta, GA",2
9030,F9,LAS,"Las Vegas, NV",PDX,"Portland, OR",4
9046,WN,LIT,"Little Rock, AR",ATL,"Atlanta, GA",2
