iter	Passed	Remaining
736	3520	1256
737	3524	1251
738	3528	1246
739	3533	1241
740	3537	1236
741	3542	1231
742	3547	1226
743	3551	1222
744	3556	1217
745	3561	1212
746	3565	1207
747	3570	1202
748	3574	1197
749	3578	1192
750	3583	1188
751	3587	1183
752	3591	1178
753	3596	1173
754	3601	1168
755	3605	1163
756	3610	1158
757	3614	1154
758	3619	1149
759	3623	1144
760	3627	1139
761	3632	1134
762	3636	1129
763	3641	1124
764	3647	1120
765	3652	1115
766	3657	1110
767	3661	1106
768	3666	1101
769	3670	1096
770	3675	1091
771	3680	1086
772	3685	1082
773	3690	1077
774	3694	1072
775	3699	1067
776	3704	1063
777	3709	1058
778	3713	1053
779	3718	1048
780	3722	1043
781	3727	1039
782	3732	1034
783	3737	1029
784	3742	1024
785	3747	1020
786	3751	1015
787	3756	1010
788	3761	1005
789	3766	1001
790	3770	996
791	3775	991
792	3780	986
793	3784	981
794	3789	977
795	3793	972
796	3798	967
797	3802	962
798	3807	957
799	3811	952
800	3815	948
801	3820	943
802	3824	938
803	3828	933
804	3833	928
805	3837	923
806	3842	918
807	3846	914
808	3851	909
809	3855	904
810	3859	899
811	3864	894
812	3869	889
813	3873	885
814	3878	880
815	3882	875
816	3886	870
817	3890	865
818	3894	860
819	3899	856
820	3904	851
821	3909	846
822	3913	841
823	3918	836
824	3922	832
825	3927	827
826	3931	822
827	3935	817
828	3940	812
829	3944	807
830	3949	803
831	3953	798
832	3958	793
833	3964	789
834	3968	784
835	3972	779
836	3977	774
837	3981	769
838	3986	764
839	3990	760
840	3994	755
841	3998	750
842	4003	745
843	4007	740
844	4011	735
845	4015	730
846	4019	726
847	4023	721
848	4027	716
849	4032	711
850	4037	706
851	4041	702
852	4046	697
853	4050	692
854	4054	687
855	4059	682
856	4063	678
857	4068	673
858	4072	668
859	4077	663
860	4081	658
861	4086	654
862	4090	649
863	4095	644
864	4099	639
865	4103	634
866	4108	630
867	4112	625
868	4116	620
869	4121	615
870	4125	611
871	4130	606
872	4135	601
873	4139	596
874	4144	592
875	4149	587
876	4154	582
877	4160	578
878	4164	573
879	4169	568
880	4173	563
881	4178	559
882	4182	554
883	4186	549
884	4191	544
885	4195	539
886	4200	535
887	4204	530
888	4208	525
889	4213	520
890	4217	515
891	4221	511
892	4226	506
893	4231	501
894	4236	497
895	4241	492
896	4245	487
897	4249	482
898	4253	477
899	4258	473
900	4263	468
901	4267	463
902	4271	458
903	4276	454
904	4280	449
905	4284	444
906	4289	439
907	4293	435
908	4297	430
909	4301	425
910	4306	420
911	4310	415
912	4315	411
913	4319	406
914	4323	401
915	4328	396
916	4333	392
917	4338	387
918	4343	382
919	4347	378
920	4352	373
921	4356	368
922	4360	363
923	4365	359
924	4369	354
925	4374	349
926	4378	344
927	4383	340
928	4387	335
929	4391	330
930	4396	325
931	4401	321
932	4405	316
933	4410	311
934	4415	306
935	4419	302
936	4424	297
937	4429	292
938	4433	288
939	4438	283
940	4443	278
941	4447	273
942	4453	269
943	4458	264
944	4462	259
945	4466	254
946	4471	250
947	4476	245
948	4480	240
949	4485	236
950	4490	231
951	4495	226
952	4500	221
953	4504	217
954	4509	212
955	4514	207
956	4519	203
957	4523	198
958	4528	193
959	4533	188
960	4538	184
961	4542	179
962	4548	174
963	4554	170
964	4559	165
965	4564	160
966	4569	155
967	4573	151
968	4578	146
969	4583	141
970	4588	137
971	4593	132
972	4598	127
973	4603	122
974	4608	118
975	4613	113
976	4618	108
977	4623	104
978	4628	99
979	4633	94
980	4638	89
981	4643	85
982	4648	80
983	4653	75
984	4657	70
985	4663	66
986	4667	61
987	4672	56
988	4678	52
989	4685	47
990	4690	42
991	4696	37
992	4701	33
993	4706	28
994	4711	23
995	4716	18
996	4721	14
997	4727	9
998	4733	4
999	4738	0
